pattern;color;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20
23a013501;ksd0;rvca;23a013501_rvca,w_ksd0_frt1.jpg;23a013501_rvca,w_ksd0_sd1.jpg;23a013501_rvca,w_ksd0_bck1.jpg;23a013501_rvca,w_ksd0_dtl1.jpg;23a013501_rvca,w_ksd0_dtl2.jpg;23a013501_rvca,w_ksd0_frt9.jpg;;;;;;;;;;;;;;
23a013502;msh;rvca;23a013502_rvca,w_msh_frt1.jpg;23a013502_rvca,w_msh_sd1.jpg;23a013502_rvca,w_msh_bck1.jpg;23a013502_rvca,w_msh_dtl1.jpg;23a013502_rvca,w_msh_frt9.jpg;23a013502_rvca,f_msh_frt1.jpg;23a013502_rvca,f_msh_bck1.jpg;;;;;;;;;;;;;
23a033503;msh;rvca;23a033503_rvca,w_msh_frt1.jpg;23a033503_rvca,w_msh_sd1.jpg;23a033503_rvca,w_msh_bck1.jpg;23a033503_rvca,w_msh_frt9.jpg;23a033503_rvca,f_msh_frt1.jpg;;;;;;;;;;;;;;;
23a033504;abg;rvca;23a033504_rvca,w_abg_frt1.jpg;23a033504_rvca,w_abg_sd1.jpg;23a033504_rvca,w_abg_bck1.jpg;23a033504_rvca,w_abg_dtl1.jpg;23a033504_rvca,w_abg_frt9.jpg;23a033504_rvca,f_abg_bck1.jpg;;;;;;;;;;;;;;
23a033505;rde;rvca;23a033505_rvca,w_rde_frt1.jpg;23a033505_rvca,w_rde_sd1.jpg;23a033505_rvca,w_rde_bck1.jpg;23a033505_rvca,w_rde_frt9.jpg;23a033505_rvca,f_rde_frt1.jpg;23a033505_rvca,f_rde_bck1.jpg;;;;;;;;;;;;;;
23a042505;mul;rvca;23a042505_rvca,w_mul_frt1.jpg;23a042505_rvca,w_mul_sd1.jpg;23a042505_rvca,w_mul_bck1.jpg;23a042505_rvca,w_mul_frt9.jpg;;;;;;;;;;;;;;;;
23a042505;ptk;rvca;23a042505_rvca,w_ptk_frt1.jpg;23a042505_rvca,w_ptk_sd1.jpg;23a042505_rvca,w_ptk_bck1.jpg;23a042505_rvca,w_ptk_frt9.jpg;;;;;;;;;;;;;;;;
23a043514;rvb;rvca;23a043514_rvca,w_rvb_frt1.jpg;23a043514_rvca,w_rvb_sd1.jpg;23a043514_rvca,w_rvb_bck1.jpg;23a043514_rvca,w_rvb_dtl1.jpg;23a043514_rvca,w_rvb_frt9.jpg;;;;;;;;;;;;;;;
23a043515;msh;rvca;23a043515_rvca,w_msh_frt1.jpg;23a043515_rvca,w_msh_sd1.jpg;23a043515_rvca,w_msh_bck1.jpg;23a043515_rvca,w_msh_dtl1.jpg;23a043515_rvca,w_msh_frt9.jpg;;;;;;;;;;;;;;;
23a043516;mul;rvca;23a043516_rvca,w_mul_frt1.jpg;23a043516_rvca,w_mul_sd1.jpg;23a043516_rvca,w_mul_bck1.jpg;23a043516_rvca,w_mul_frt9.jpg;;;;;;;;;;;;;;;;
23a043519;mul;rvca;23a043519_rvca,w_mul_frt1.jpg;23a043519_rvca,w_mul_sd1.jpg;23a043519_rvca,w_mul_bck1.jpg;23a043519_rvca,w_mul_dtl1.jpg;23a043519_rvca,w_mul_frt9.jpg;23a043519_rvca,f_mul_frt1.jpg;23a043519_rvca,f_mul_bck1.jpg;;;;;;;;;;;;;
23a043522;grt;rvca;23a043522_rvca,w_grt_frt1.jpg;23a043522_rvca,w_grt_sd1.jpg;23a043522_rvca,w_grt_bck1.jpg;23a043522_rvca,w_grt_frt9.jpg;23a043522_rvca,f_grt_frt1.jpg;23a043522_rvca,f_grt_bck1.jpg;;;;;;;;;;;;;;
23a053500;mul;rvca;23a053500_rvca,w_mul_frt1.jpg;23a053500_rvca,w_mul_sd1.jpg;23a053500_rvca,w_mul_bck1.jpg;23a053500_rvca,w_mul_frt9.jpg;23a053500_rvca,f_mul_frt1.jpg;23a053500_rvca,f_mul_bck1.jpg;;;;;;;;;;;;;;
23a053501;blk;rvca;23a053501_rvca,w_blk_frt1.jpg;23a053501_rvca,w_blk_sd1.jpg;23a053501_rvca,w_blk_bck1.jpg;23a053501_rvca,w_blk_frt9.jpg;23a053501_rvca,f_blk_frt1.jpg;23a053501_rvca,f_blk_bck1.jpg;;;;;;;;;;;;;;
23a053501;rde;rvca;23a053501_rvca,w_rde_frt1.jpg;23a053501_rvca,w_rde_sd1.jpg;23a053501_rvca,w_rde_bck1.jpg;23a053501_rvca,w_rde_frt9.jpg;23a053501_rvca,f_rde_frt1.jpg;23a053501_rvca,f_rde_bck1.jpg;;;;;;;;;;;;;;
23a053502;rde;rvca;23a053502_rvca,w_rde_frt1.jpg;23a053502_rvca,w_rde_sd1.jpg;23a053502_rvca,w_rde_bck1.jpg;23a053502_rvca,w_rde_frt9.jpg;23a053502_rvca,f_rde_frt1.jpg;23a053502_rvca,f_rde_bck1.jpg;;;;;;;;;;;;;;
