pattern;color;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20;;;;;
24a011601;oat1;billabong;24a011601_billabong,w_oat1_frt1.jpg;24a011601_billabong,w_oat1_sd1.jpg;24a011601_billabong,w_oat1_bck1.jpg;24a011601_billabong,w_oat1_dtl1.jpg;24a011601_billabong,w_oat1_dtl2.jpg;24a011601_billabong,w_oat1_dtl3.jpg;24a011601_billabong,f_oat1_frt1.jpg;24a011601_billabong,f_oat1_bck1.jpg;;;;;;;;;;;;;;;;;
24a011610;blk;billabong;24a011610_billabong,f_blk_frt1.jpg;24a011610_billabong,f_blk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;;
24a011670;vig;billabong;24a011670_billabong,w_vig_frt1.jpg;24a011670_billabong,w_vig_sd1.jpg;24a011670_billabong,w_vig_bck1.jpg;24a011670_billabong,w_vig_dtl1.jpg;24a011670_billabong,f_vig_frt1.jpg;24a011670_billabong,f_vig_bck1.jpg;;;;;;;;;;;;;;;;;;;
24a011673;pew;billabong;24a011673_billabong,w_pew_frt1.jpg;24a011673_billabong,w_pew_sd1.jpg;24a011673_billabong,w_pew_bck1.jpg;24a011673_billabong,w_pew_dtl1.jpg;24a011673_billabong,f_pew_frt1.jpg;24a011673_billabong,f_pew_bck1.jpg;;;;;;;;;;;;;;;;;;;
24a011674;blk;billabong;24a011674_billabong,w_blk_frt1.jpg;24a011674_billabong,w_blk_sd1.jpg;24a011674_billabong,w_blk_bck1.jpg;24a011674_billabong,w_blk_dtl1.jpg;24a011674_billabong,f_blk_frt1.jpg;24a011674_billabong,f_blk_bck1.jpg;;;;;;;;;;;;;;;;;;;
24a011675;blk;billabong;24a011675_billabong,w_blk_frt1.jpg;24a011675_billabong,w_blk_sd1.jpg;24a011675_billabong,w_blk_bck1.jpg;24a011675_billabong,w_blk_dtl1.jpg;24a011675_billabong,f_blk_frt1.jpg;24a011675_billabong,f_blk_bck1.jpg;;;;;;;;;;;;;;;;;;;
24a041601;ofw;billabong;24a041601_billabong,w_ofw_frt1.jpg;24a041601_billabong,w_ofw_sd1.jpg;24a041601_billabong,w_ofw_bck1.jpg;24a041601_billabong,w_ofw_dtl1.jpg;24a041601_billabong,f_ofw_frt1.jpg;24a041601_billabong,f_ofw_bck1.jpg;;;;;;;;;;;;;;;;;;;
24a041630;blk;billabong;24a041630_billabong,w_blk_frt1.jpg;24a041630_billabong,w_blk_sd1.jpg;24a041630_billabong,w_blk_bck1.jpg;24a041630_billabong,w_blk_dtl1.jpg;;;;;;;;;;;;;;;;;;;;;
24a081601;dkd;billabong;24a081601_billabong,f_dkd_frt1.jpg;24a081601_billabong,f_dkd_bck1.jpg;24a081601_billabong,w_dkd_frt1.jpg;24a081601_billabong,w_dkd_sd1.jpg;24a081601_billabong,w_dkd_bck1.jpg;24a081601_billabong,w_dkd_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081603;asr;billabong;24a081603_billabong,f_asr_frt1.jpg;24a081603_billabong,f_asr_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;;
24a081603;fog;billabong;24a081603_billabong,f_fog_frt1.jpg;24a081603_billabong,f_fog_bck1.jpg;24a081603_billabong,w_fog_frt1.jpg;24a081603_billabong,w_fog_sd1.jpg;24a081603_billabong,w_fog_bck1.jpg;24a081603_billabong,w_fog_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081607;blk;billabong;24a081607_billabong,f_blk_frt1.jpg;24a081607_billabong,f_blk_bck1.jpg;24a081607_billabong,w_blk_frt1.jpg;24a081607_billabong,w_blk_sd1.jpg;24a081607_billabong,w_blk_bck1.jpg;24a081607_billabong,w_blk_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081607;fog1;billabong;24a081607_billabong,f_fog1_frt1.jpg;24a081607_billabong,f_fog1_bck1.jpg;24a081607_billabong,w_fog1_frt1.jpg;24a081607_billabong,w_fog1_sd1.jpg;24a081607_billabong,w_fog1_bck1.jpg;;;;;;;;;;;;;;;;;;;;
24a081609;barn;billabong;24a081609_billabong,f_barn_frt1.jpg;24a081609_billabong,f_barn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;;
24a081609;bvi;billabong;24a081609_billabong,f_bvi_frt1.jpg;24a081609_billabong,f_bvi_bck1.jpg;24a081609_billabong,w_bvi_frt1.jpg;24a081609_billabong,w_bvi_sd1.jpg;24a081609_billabong,w_bvi_bck1.jpg;24a081609_billabong,w_bvi_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081611;mch;billabong;24a081611_billabong,f_mch_frt1.jpg;24a081611_billabong,f_mch_bck1.jpg;24a081611_billabong,w_mch_frt1.jpg;24a081611_billabong,w_mch_sd1.jpg;24a081611_billabong,w_mch_bck1.jpg;24a081611_billabong,w_mch_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081612;vig;billabong;24a081612_billabong,f_vig_frt1.jpg;24a081612_billabong,f_vig_bck1.jpg;24a081612_billabong,w_vig_frt1.jpg;24a081612_billabong,w_vig_sd1.jpg;24a081612_billabong,w_vig_bck1.jpg;24a081612_billabong,w_vig_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081613;wtv;billabong;24a081613_billabong,f_wtv_frt1.jpg;24a081613_billabong,f_wtv_bck1.jpg;24a081613_billabong,w_wtv_frt1.jpg;24a081613_billabong,w_wtv_sd1.jpg;24a081613_billabong,w_wtv_bck1.jpg;24a081613_billabong,w_wtv_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081614;blk;billabong;24a081614_billabong,f_blk_frt1.jpg;24a081614_billabong,f_blk_bck1.jpg;24a081614_billabong,w_blk_frt1.jpg;24a081614_billabong,w_blk_sd1.jpg;24a081614_billabong,w_blk_bck1.jpg;24a081614_billabong,w_blk_dtl1.jpg;;;;;;;;;;;;;;;;;;;
24a081616;blk;billabong;24a081616_billabong,f_blk_frt1.jpg;24a081616_billabong,f_blk_bck1.jpg;24a081616_billabong,w_blk_frt1.jpg;24a081616_billabong,w_blk_sd1.jpg;24a081616_billabong,w_blk_bck1.jpg;24a081616_billabong,w_blk_dtl1.jpg;24a081616_billabong,w_blk_dtl2.jpg;;;;;;;;;;;;;;;;;;
