attribute;value1;value2;value3;value4;value5;value6;value7;value8;value9;value10;value11;value12;value13;value14;value15;value16;value17;value18;value19;value20;value21;value22;value23;value24;value25;value26;value27;value28;value29;value30;value31;value32;value33;value34;value35;value36;value37;value38;value39;value40;value41;value42;value43;value44;value45;value46;value47;value48;value49;value50;value51;value52;value53;value54;value55;value56;value57;value58;value59;value60;value61;value62;value63;value64;value65;value66;value67;value68;value69;value70;value71;value72;value73;value74;value75;value76;value77;value78;value79;value80;value81;value82;value83;value84;value85;value86;value87;value88;value89;value90;value91;value92;value93;value94;value95;value96;value97;value98;value99;value100;value101;value102;value103;value104;value105;value106;value107;value108;value109;value110;value111;value112;value113;value114;value115;value116;value117;value118;value119;value120;value121;value122;value123;value124;value125;value126;value127;value128;value129;value130;value131;value132;value133;value134;value135;value136;value137;value138;value139;value140;value141;value142;value143;value144;value145;value146;value147;value148;value149;value150;value151;value152;value153;value154;value155;value156;value157;value158;value159;value160;value161;value162;value163;value164;value165;value166;value167;value168;value169;value170;value171;value172;value173;value174;value175;value176;value177;value178;value179;value180;value181;value182;value183;value184;value185;value186;value187;value188;value189;value190;value191;value192;value193;value194;value195;value196;value197;value198;value199;value200;value201;value202;value203;value204;value205;value206;value207;value208;value209;value210;value211;value212;value213;value214;value215;value216;value217;value218;value219;value220;value221;value222;value223;value224;value225;value226;value227;value228;value229;value230;value231;value232;value233;value234;value235;value236;value237;value238;value239;value240;value241;value242;value243;value244;value245;value246;value247;value248;value249;value250;value251;value252;value253;value254;value255;value256;value257;value258;value259;value260;value261;value262;value263;value264;value265;value266;value267;value268;value269;value270;value271;value272;value273;value274;value275;value276;value277;value278;value279;value280;value281;value282;value283;value284;value285;value286;value287;value288;value289;value290;value291;value292;value293;value294;value295;value296;value297;value298;value299;value300;value301;value302;value303;value304;value305;value306;value307;value308;value309;value310;value311;value312;value313;value314;value315;value316;value317;value318;value319;value320;value321;value322;value323;value324;value325;value326;value327;value328;value329;value330;value331;value332;value333;value334;value335;value336;value337;value338;value339;value340;value341;value342;value343;value344
division;99;dcshoes;billabong;element;quiksilver;roxy;rvca;vonzipper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gender;boys;girls;men;unisex;women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
category;accessories;clothing;footwear;skate;snow;surf;swim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
parent_type;bag;backpack;beach_accessory;beanie;belt;bikini;bikini_bottom;bikini_top;blouse;boardshorts;bodywear;cap;cardigan;dress;electronics;equipment_bag;fleece_polar;flip_flops;footwear_accessory;footwear_boots;gi;lifestyle_gloves;luggage;hat;home;jackets;jeans;layer;mules;one_piece_outfit;one_piece_swim;long_leg_onesie;short_leg_onesie;pants;polo;pullover;rashguard;sandals;scarf;school_supplies;shirt;shoes;shorts;skate_accessory;skateboard_complete;skateboard_deck;skirt;slide;small_accessory;snow_accessory;snowboard;snowboard_boots;snowboard_jacket;snowboard_pants;snowsuit;socks;sunglasses;sunscreen;surf_accessory;surfboard;sweatshirt;swim_brief;swim_trunks;tank;top;t-shirt;wetsuit;wetsuit_accessory;wallet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
subtype;5_panel;6_panel;anorak;arch_support;aviator;bandeau;barrel;barrett;base;baseball;battery;beach;beach_coverup;beach_mat;beach_pillow;bearing;bermuda;bi_fold;bib_pants;bicycle;bike;bikini_bag;binder;blanket;blazer;boater;body;bodycon;bodysuit;bomber;boonie;booties;bottle;bottle_opener;boxers;boxing_gloves;boxy;boy_shorts;boyfriend;bra;braided;bucket;buckle;butterfly;button_up;cabana;calf;camera;cami;camisole;camp;camper;cape;car_rack;card_holder;cargo;carpenter;carry-on;cat-eye;cell_phone;changing_mat;chelsea;chino;chore;chunky;claspback;classic;clipback;clout;clutch;coach;coffee_mug;cologne;convertible;cooler;cot;crew;crochet;crop;cross_back;crossbody;cuff;cut_out;cutout;cylindrical;dd;denim;dice;dopp_kit;double;down;drawstring;duffle_bag;dungaree;duster;earrings;empire-waist;equipment;evening;eyewear_retainer;fairisle;fedora;fins;first_layer_bottom;first_layer_top;fish;flannel;flare;flat_cap;flat_hat;flat_top;fleece;flexfit;flip_up;floppy;flounce;formal;full;full_zip;fullsuit;gear;geometric;gloves;goggle_lenses;goggles;golf;gymsack;halter;hammock;hawaiian;headband;heated_vest;helmet;henley;hoodie;hybrid_shorts;injected;insole;invisible_socks;jewelry;joggers;jumpsuit;key_ring;keychain;kimono;knee;knee-high_socks;knit;koozie;lace;laces;lace-up;lanyard;laptop;large;leash;leather;leggings;lifeguard;longboard;longboard-cruiser;longline;luggage_set;luggage_tags;lunch_bag;lunch_box;magic;make-up;maxi;mechanics;mega_fit;messenger;mid_calf;mittens;motorcycle;mp3_player;multi;muscle;navigator;necklace;neckwarmer;no_show;non_optical_rx;non-approved_pfd;non-outrigger;off_shoulder;one_piece;one_shoulder;optical_rx;outrigger;oval;over_cuff;overalls;oversized;over-the-knee_socks;padded;paddle;pareo;parka;patches;pea_coat;pencil;pencil_case;performance;personal_flotation_device;pinafore;pins;pleated;plunge;polar-lined;polka;pom;poncho;ponytail;popover;pouch;puffed;puffer;purse;quick-change;quilted;racer_back;rain;reef;resort;retro;reversible;rimless;ring;ripped;roller;romper;round;round_toe;rucksack;rug;sarong;satchel;school;scout;scrunchie;selvedge;set;shacket;sheath;sherpa;shield;shift;shopper;shorty;shoulder;skate;skateboard;skinny;skort;sleeping_bag;slim;slip-on;slouchy;small;smocked;snapback;sneaker;snow_roller_travel;soft_shell;soft_top;spherical;split_toe;sports;sports_bra;springsuit;square;sticker;stomp_pad;straight_fit;strapback;strappy;straw;stretch;sundress;sunglasses_case;surf_straps;surfboard_bag;surfboard_sock;surf_tee;sweat_shorts;sweatpants;swim_cap;swim_set;swim-dress;swimsuit;swing;table;tailored;technical;teddy;thermal;thigh_high;thong;tide;tie_front;tie_side;toggle;toiletry;tool;tote;towel;track;traction_pad;traction_paper;traditional;trainer_socks;training;travel;travel_set;trench;tri_fold;trucker;trucks;tube;tunic;two_piece_set;umbrella;under_cuff;undershort;varsity;vest;visor;waist_pack;walkshort;watch_strap;waterfall;wax_bar;wax_comb;web;western;wetsuit_boots;wetsuit_bottoms;wetsuit_gloves;wetsuit_hood;wetsuit_top;wheels;wide;wide_legged
activity_use;active;beach;brasilian_jujitsu;casual;school;skate;snow;surf;training;yoga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age;adult;kids;toddlers;3-18_months;3-24_months;6-24_months;0-3_years;0-4_years;0-5_years;0-7_years;2-4_years;2-6_years;2-7_years;2-14_years;2-16_years;3-8_years;4-7_years;4-12_years;4-14_years;4-16_years;6-12_years;6-14_years;6-16_years;7-14_years;7-16_years;8-14_years;8-16_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sustainability;biodegradable;hemp;limestone_derived;natural_dye;organic;pfc_free;recycled;solution-dyeing;vegan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sustainability_certification;bluesign;econyl;nature_tex;oeko-tex;rds;repreve;spindye;vita_xtra_life;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fabric_main;4-way_stretch;acetate;acetate_blend;acrylic;acrylic_blend;alpaca;aluminium;bamboo_blend;bamboo_fiber;bio_nylon_blend;bio-acetate_blend;blend;braided;brass;buffalo_leather;calf_leather;canvas;canvas_upper;carbon_blend;cashmere;closed_knit;composite;cord;cordura;corduroy;cork;cotton;cotton_blend;cotton_blend_upper;cotton_linen_upper;cotton_upper;cow_leather;crocheted;denim;elastane;elastodiene;eps_blend;eva;eva_blend;eva_blend_upper;eva_upper;faux_fur;faux_leather;faux-leather_upper;felt;fiberglass;flannel;flax_linen_blend;fleece;glass;glass_blend;grass_linen_blend;hardshell;hemp;hemp_blend;hemp_upper;jersey;jute;jute_upper;knitted;knit_yarn;lace;latex;leather;leather_blend_upper;leather_upper;linen;linen_blend;linen_blend_upper;linen_upper;lycra;lyocell;lyocell_blend;maple_wood;maple_wood_blend;merino;mesh;metal;microfiber;microsuede;modacrylic;modal;modal_blend;mogador;mohair;neoprene;neoprene_blend;nubuck;nubuck_upper;nylon;nylon_blend;nylon_polyamide;other_fibres;paper;paraffin;paraffin_blend;pet;pet_blend;pet_upper;piquŽ;plastic;plastic_bio-acetate;plastic_blend;polyamide;polyamide_blend;polycarbonate;polycarbonate_blend;polyester;polyester_blend;polyester_blend_upper;polyester_linen_upper;polyester_rayon_upper;polyester_upper;polyester_wool_upper;polyethylene;polyethylene_terephthalate;polypropylene;polypropylene_blend;polypropylene_blend_upper;polyurethane;polyurethane_blend;polyurethane_blend_upper;polyurethane_nubuck_upper;polyurethane_upper;polyurethane_upper_blend;polyvinylchloride_blend;pu_blend_upper;pu_upper;pvc;pvc_blend;pvc_upper;raffia;ramie;rayon;rib;rubber;rubber_blend;rubber_blend_upper;rubber_nylon_polyamide_blend;rubber_upper;satin;schiffli;seagrass;sebs_polymer_upper;sebs_upper;sheepskin;silk;softshell;spandex;split_leather;sponge;sponge_rubber_blend_upper;srtetch_nylon;stainless_steel;stainless_steel_blend;steel;straw;straw_blend;stretch_acrylic_blend;stretch_blend;stretch_cotton;stretch_cotton_blend;stretch_hemp_blend;stretch_lyocell_blend;stretch_modal;stretch_modal_blend;stretch_nylon;stretch_nylon_blend;stretch_pet;stretch_polyamide;stretch_polyamide_blend;stretch_polyester;stretch_polyester_blend;stretch_polypropylene;stretch_polypropylene_blend;stretch_thermoplastic;stretch_viscose;stretch_viscose_blend;suede;suede_leather_upper;suede_upper;super_suede;synthetic;synthetic_blend_upper;synthetic_leather;synthetic_nubuck;synthetic_raffia_blend_upper;synthetic_raffia_upper;synthetic_resin_upper;synthetic_rubber_upper;synthetic_suede;synthetic_upper;tarpaulin;tencel;terry_towelling;textile;textile_blend_upper;textile_upper;thermoplastic_blend;thermoplastic_upper;tpe_upper;tpr_upper;tpu_upper;triacetate;trivinyl;tr_blend_upper;tr_upper;tulle;tweed;urethane;vinyl;viscose;viscose_blend;wax_blend;wicker;wood;wood_blend;wool;wool_blend;wool_blend_upper;wool_nylon;woven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
