ModesCode;LabelWeb;ActiveLanguage;DescriptionLong;Characteristics;composition;type
25AW213500;HIGHLINE32CZ (BFG);master;"&nbsp;";"HIGHLINE
__Exterior fabric:__ CHAMPION STRETCH - 93.2% Recycled Nylon
6.8% Elastane
__Foam Type:__ LEVIPRENE
__Interior Fabric:__ PRIMALOFT STRETCH - 50% Recycled Polyester
50% PrimaLoft Recycled Polyester
__Body type:__ Long Sleeve Full Suit
__Thickness:__ 3/2mm
__Entry system:__ Horizontal Front Zip
__Seam Detail - Exterior:__ GBS
__Seam Detail - Interior:__ nT Reinforcement Tape and High Stress Point Melco Spot Tape
Glue Details Aqua Alpha - Water Based";93.2% Recycled Nylon, 6.8% Spandex;Chest Zip Wetsuit
25AW213510;ESESSIONS32CZ (GNB0);master;"&nbsp;";"__Collection:__ EVERYDAY SESSIONS
__Exterior fabric:__ REPEATER STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ OCENA NATURAL RUBBER - made from bio-based content and recycled Carbon Black
100% neoprene free
__Interior Fabric:__ PRIMALOFT¨ BIOT WARM - 37% Polyester, 7% Recycled Spandex, 56% PrimaLoft Recycled Polyester
PRIMALOFT¨ BIOT STRETCH - 50% Recycled Polyester, 50% PrimaLoft Recycled Polyester
ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 3/2mm
__Entry:__ Chest zip entry
GBS [glued and blind stitched] external seams for maximum flexibility and minimal water entry
Interior Seam Detail: nT Reinforcement Tape and High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 87% Recycled Polyester, 13% Recycled Elastane;Chest Zip Wetsuit
25AW213514;PROL+32BZFLT (BLK);master;"&nbsp;";"PROLOGUE +
__Exterior fabric:__ ECO STRETCH - 87% Recycled Polyester
13% Recycled Elastane
__Foam Type:__ FREEMAX STRETCH NEOPRENE
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Body type:__ Long Sleeve Full Suit
__Thickness:__ 3/2mm
__Entry system:__ Back Zip
__Seam Detail - Exterior:__ Flatlock Stitch
__Seam Detail - Interior:__ : High Stress Point Melco Spot Tape
Glue Details Aqua Alpha - Water Based"; 87% Recycled Polyester, 13% Recycled Spandex;Back Zip Wetsuit
25AW243501;MERC SPRING FZ (RQC0);master;"&nbsp;";"__Collection:__ MERCURY
__Exterior fabric:__ REPEATER STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ OCENA NATURAL RUBBER - made from bio-based content and recycled Carbon Black
100% neoprene free
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 2mm
GBS [glued and blind stitched] external seams for maximum flexibility and minimal water entry
Interior Seam Detail: nT Reinforcement Tape and High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 87% Recycled Polyester, 13% Recycled Elastane;Long Sleeve Front Zip Springsuit
25AW253501;EDSESS2/2SSSPCZ (GNB0);master;"&nbsp;";"__Collection:__ EVERYDAY SESSIONS
__Exterior fabric:__ REPEATER STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ OCENA NATURAL RUBBER - made from bio-based content and recycled Carbon Black
100% neoprene free
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 2mm
__Entry:__ Chest zip entry
GBS [glued and blind stitched] external seams for maximum flexibility and minimal water entry
Interior Seam Detail: nT Reinforcement Tape and High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 87% Recycled Polyester, 13% Recycled Elastane;Short Sleeve Chest Zip Wetsuit
25AW193514;1PROREEFRDTOE (BLK);master;"&nbsp;";"__Collection:__ PROLOGUE +
__Exterior fabric:__ ECO STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ Limestone based FREEMAX STRETCH NEOPRENE
__Interior Fabric:__ PRIMALOFT STRETCH - 50% Recycled Polyester, 50% PrimaLoft Recycled Polyester
__Thickness:__ 1mm
__Entry:__ Arch Strap
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 87% Recycled Polyester, 13% Recycled Elastane;Round Toe Reef Booties
EQYW303026;2/2 PROL BZ (KVD0);master;"&nbsp;";"__Collection:__ PROLOGUE +
__Exterior fabric:__ ECO STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ Limestone based FREEMAX STRETCH NEOPRENE
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 2mm
__Entry:__ Back zip entry
Flatlock stitched seams - soft, flexible and durable
Interior Seam Detail: High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 83% Nylon, 17% Elastane;Short Sleeve Back Zip Springsuit
EQYWP03011;HLPRO IMPCT (KVD0);master;"&nbsp;";"__Collection:__ HIGHLINE PRO IMPACT
__Foam Type:__ Limestone based STRETCH FLIGHT ECO NEOPRENE
Seam Details: Q-Lock seams
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 83% Nylon, 17% Elastane;Short John Impact Wetsuit
AQYBP03168;GRENADE (CRE0);master;"&nbsp;";"__Fabric:__ Recycled polyester fabric
__Compartments:__ Dual main compartments 
Back zipped computer compartment 
__Pockets:__ Multiple side pockets 
1 top pocket
__Straps:__ Ergonomic shoulder strap 
Skate strap
__Padding:__ Padded back Panel
__Dimensions:__ 18.5""[H] x 13.3"" [W] x 7.8"" [D] / 47 [H] x 34 [W] x 20 [D] cm
__Volume:__ 32 L capacity
__Branding:__ Front label 
__Other Features:__ Music port";100% Recycled Polyester;Large Surf Backpack
AQYW403008;ED 2/2 LS SP CZ (KVD0);master;"&nbsp;";"__Collection:__ Mongrel Tongue collection
__Fabric:__ Nylon elastane blend fabric
__Neoprene foam:__ STRETCHFLIGHT ECO neoprene
__Seams:__ GBS (glued and blind stitched) seams for maximum flexibility and minimal water entry seams
__Thickness:__ 202mm thickness
__Entry system:__ Chest zip entry system
__Other Features:__ Key loop
AQUA GLUE eco friendly lamination
Recycled yarn";[Main Fabric] 83% Nylon, 17% Elastane;Chest Zip Long Sleeves Springsuit
AQYW803041;ORIGINAL VEST 1 (KVD0);master;"&nbsp;";"Quiksilver Original
__Foam Type:__ Limestone based STRETCH FLIGHT ECO NEOPRENE
__Thickness:__ 1.5mm
Seam Details: Q-Lock seams
Laser cut drain holes
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 83% Nylon, 17% Elastane;Neoprene Vest
EQBW103114;ED SESSIONS 3/2 (RQC0);master;"&nbsp;";"__Neoprene:__ STRETCHFLIGHT ECO neoprene
__Lining:__ WARMFLIGHT ECO VELVET zoned thermal lining
__Seams:__ GBS external seams
Zoned taped internal seams
__Entry:__ Back zip entry
__Other:__ Key loop
AQUA GLUE eco friendly lamination
Download [Declaration Of Conformity](https://cdn.napali.app/static/global/certificates/WETSUIT/243_QS_WETSUITS_Declaration_de_conformite_EPI_type_II.pdf)";[Main Fabric] 83% Nylon, 17% Elastane;Back Zip Wetsuit
EQKW503004;22 PRO K SS SP (GZE0);master;"&nbsp;";"__Neoprene:__ Freemax neoprene coupled with STRETCHFLIGHT neoprene
__Seams:__ Flat Lock external seams
__Entry:__ Back zip entry
__Other:__ AQUA GLUE eco friendly lamination";[Main Fabric] 83% Nylon, 17% Elastane;Short Sleeve Back Zip Springsuit
AQBW803009;ED SESSIONS 1.5 (RQC0);master;"&nbsp;";"__Fabric:__ 83% Recycled nylon 17% elastane blend fabric
__Neoprene foam:__ StretchFlight Eco neoprene
__Seams:__ Q-Lock external seams
__Neck:__ Mock neck
__Sleeves:__ Long sleeves
__Closure:__Pullover closure
__Other Features:__ Key loop
Aqua Glue eco friendly lamination
Recycled yarn";[Main Fabric] 83% Recycled Nylon, 17% Elastane;Wetsuit Jacket
EQBFT03890;BASICHOODZIPYTH (KTP0);master;"&nbsp;";"__Fabric:__ Cotton polyester blend fabric
__Neck:__ Hooded neck
__Sleeves:__ Long sleeves
__Pockets:__ Kangaroo pouch pockets";60% Cotton, 40% Polyester;Long Sleeve Pullover Hoodie
