style;color;name;image_url;description;season
23A011503;VNY;EXOTICA SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a011503_vny.png;Product Type:Knit short sleeve button-up^Fabric:76% Cotton Terry/ 24% Polyester Jacquard terry artwork throughout fabric^Fit:Easy Fit^Trims:Exotica label on Pocket and interior label;251
23A041500;LKH;LA EYE FLORAL SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a041500_lkh.png;Product type:Short Sleeve Woven Shirt^Fabric content:55% Cotton 45% Viscose^Fit:Regular^Trims:Custom Alvarez trims on interior and solo label;251
23A041501;OCR;LA ORNAMENT SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a041501_ocr.png;Product type:SS Woven^Fabric:90% Cotton 10% Linen^Fit:Easy^Trims:Custom Alvarez trims on interior and solo label;251
23A041503;CER;VACANCY SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a041503_cer.png;Product: SS Woven^Fabric: 60% Cotton 40% Viscose Dobby^Fit:Relaxed Fit w/ custom collar and Straight Hem^Trims:Vacancy trim on bottom hem;251
23A041504;NAT;EXOTICA STRIPE SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a041504_nat.png;Fabric:55% Linen 45% Viscose Yarn Dyed Stripe^Fit:Easy^Trims:Exotica trim on bottom hem;251
23A041505;BLK;TAPESTRY SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a041505_blk.png;Product:SS Woven^Fabric: 60% Linen 40% Viscose^Fit:Regular^Trims:Solo label on Pocket;251
23A041506;BLK;HAWAII PALMS SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a041506_blk.png;0;251
23A081504;GRT;ANYTIME TRUNK 16;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a081504_grt.png;"Product Type:Boardshort^Fabric content:52% Cotton / 43% Recycled Polyester / 5% Elastane^Heritage Stretch^Length:16"" Outseam^Details:Button closure at fly,Back patch pocket with RVCA solo label,Interior liner at body.^Graphics:VA Box patch at lower left leg";251
23A081507;MUL;LA WAVE SPLIT TRUNK 17;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a081507_mul.png;"Product Type:Boardshort^Fabric:53% Recycled Polyester 32% Polyester 9% Elastane 6% Cotton Coco-tex^Length:17"" Outseam^Details:Button closure at fly,Back patch pocket with RVCA solo label^Graphics:Rvca art patch at left leg";251
23A081509;BLK;HAWAII APEX 2 TRUNK ;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a081509_blk.png;"Product Type:Boardshort^Fabric:85% Recycled Polyester 15% Elastane 4-way Stretch^Length:18"" Outseam^Details:Gusset fly closure,Back Patch pocket with RVCA solo label,Cut and sewn side panels at body^Graphics:Rvca Hawaii Patch at left leg.";251
23A081510;OCR;LA ORNAMENT TRUNK 17;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a081510_ocr.png;"Product Type:Boardshort^Fabric content: 53% Recycled Polyester 32% Polyester 9% Elastane 6% Cotton Coco-tex^Length:17"" Outseam^Details:Button closure at fly,Back patch pocket with RVCA solo label^Graphics:Rvca art patch at left leg";251
23A101510;VNY;PALMS DOWN EXOTICA ELASTIC 17;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a101510_vny.png;0;251
23A101511;SLE;SANDS ELASTIC 17;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a101511_sle.png;0;251
23A121505;SND;LA ORNAMENT ELASTIC PANT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a121505_snd.png;0;251
23A151503;SND;LA ORNAMENT CHORE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a151503_snd.png;0;251
23A251500;LKH;LA EYE FLORAL ELASTIC 17;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a251500_lkh.png;"Product Type:Boardshort^Fabric content:66% Recycled Polyester 20% Cotton 8% Hemp 6% Elastane 4-way Hemp^Length:17"" Outseam^Details:Elastic waist with draword,Back Patch pocket with RVCA solo label,Pockets on side seams";251
23A251501;BN4;RESORT ELASTIC 16;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a251501_bn4.png;"Product Type:Boardshort^Fabric:Coco-tex^Length:16"" Outseam^Details:Elastic waist with draword,Back Patch pocket with RVCA solo label,Pockets on side seams^Graphics:Rvca motors patch at left leg.";251
23A251502;DTP;VA PIGMENT ELASTIC SHORT 16;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a251502_dtp.png;"Product Type:Boardshort^Fabric:94% Recycled Polyester 6% Elastane 4-way Dobby^Wash:Pigment overdye^Length:16"" Outseam^Details:Elastic waist with draword,Back Patch pocket with RVCA solo label,Pockets on side seams^Graphics:Rvca motors patch at left leg.";251
23A351557;VNY;LA EYE SWIRL POCKET SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a351557_vny.png;Product type^SS Tee^Sleeves:Short Sleeve^Fabric:85% Polyester, 15% Cotton^Weight155 gsm^Fit:Regular^Neck:Crew neck^chest pocket & back print;251
23A351558;CYT;NATURAL SCIENCE SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a351558_cyt.png;Prodcut Type: SS Knit^Fabric:100% Organic cotton premium midweight^Fabirc weight: 200gsm^Fit: Regular fit, standard lengt^Graphics: Front and back screen print.;251
23A351559;CYT;EXOTICA POCKET SS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a351559_cyt.png;0;251
23A411503;OCR;LA WAVE HOODIE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a411503_ocr.png;Product Type:Fleece Hood^Fabric Weight + Sub Type:55% Hemp, 45% Cotton^Fit:Regular fit^Lining:Brushed Back Fleece^Pockets:Kangaroo pocket;251
23A411506;BLK;IRON ON HOODIE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a411506_blk.png;0;251
23A481500;RDE;SCRIPT SEALED ZIP;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23a481500_rde.png;Product Type: Hooded sweatshirt^Fabric: 80% Cotton, 20% Polyester  300gsm^Fit: Regular fit^Details: Kangeroo pocket^Graphics: Front and back screen print^Trims:Leather patch on front;251
23B011501;BLK;CHASE POLO;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b011501_blk.png;Product Type + Sleeves:Crop top^Fabric Weight + Sub Type:Rib knit^Fit:Fitted crop^Neck:V neck and collar;251
23B021502;CLO;SQUARED UP TANK;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b021502_clo.png;0;251
23B021504;YGD0;MATCH TANK;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b021504_ygd0.png;0;251
23B041502;WPW;SASHA TANK;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b041502_wpw.png;0;251
23B041503;GJE0;TASH TANK;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b041503_gje0.png;0;251
23B041506;NAT;LAURYN BUTTON UP;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b041506_nat.png;Product Type: Woven Top^Fabric: 15% Linen 85% Cotton blend^Fit: Relaxed Fit^Closure/Neck: Collar with CF button closure^All over yardage printed stripe.;251
23B051501;BFG;SHOWDOWN SHIRT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b051501_bfg.png;0;251
23B071500;BLK;SCHOOL DANCE CARDIGAN;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b071500_blk.png;0;251
23B071502;WPW;DAWN SWEATER TOP;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b071502_wpw.png;0;251
23B071503;BLQ0;NOAH SWEATER TOP;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b071503_blq0.png;0;251
23B071504;CLY;SHIVER SWEATER;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b071504_cly.png;0;251
23B091502;BLK;BARDOT SHORT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b091502_blk.png;Product Type:Cotton shorts^Fabric content:98% Cotton / 2% Elastane^Fit:High-waisted fit^Fly/Waist:Exposed button fly^front patch pockets, curved back pockets;251
23B091504;CLY;DREA OVERALL;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b091504_cly.png;0;251
23B111501;BFG;COCO PANT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b111501_bfg.png;0;251
23B111502;RSN;RECESSION PANT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b111502_rsn.png;0;251
23B111503;GRT;DAYLIGHT PANT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b111503_grt.png;0;251
23B121501;GJE0;NEW YUME WIDE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b121501_gje0.png;0;251
23B131502;GRT;DIXIE MIDI DRESS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b131502_grt.png;0;251
23B131503;CLO;SWAN SONG DRESS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b131503_clo.png;0;251
23B131504;CAC;TRUE LIES DRESS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b131504_cac.png;0;251
23B131506;RSN;UNDERSTATED MIDI DRESS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b131506_rsn.png;0;251
23B131508;GRT;UNDERSTATED DRESS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b131508_grt.png;0;251
23B131510;HGD;MACARTHUR DRESS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b131510_hgd.png;0;251
23B131511;BLK;BAKER DRESS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b131511_blk.png;0;251
23B131512;GJE0;STATEMENT DRESS;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/23b131512_gje0.png;0;251
