style;division;gender;age;category;parent_type;subtype;activity_use;sustainability
24593501;billabong;women;adult;accessories;belt;buckle;casual;
24a013577;billabong;men;adult;clothing;t-shirt;crew;casual;
24a033590;billabong;men;adult;clothing;polo;classic;casual;
24a041507;billabong;men;adult;clothing;shirt;hawaiian;casual;
24a053500;billabong;men;adult;clothing;shirt;flannel;casual;
24a053501;billabong;men;adult;clothing;shirt;button_up;casual;
24a053506;billabong;men;adult;clothing;shirt;flannel;casual;
24a053507;billabong;men;adult;clothing;shirt;shacket;casual;
24a081501;billabong;men;adult;swim;boardshorts;regular;surf;
24a081505;billabong;men;adult;swim;boardshorts;regular;surf;
24a081509;billabong;men;adult;swim;boardshorts;regular;surf;recycled
24a081514;billabong;men;adult;swim;boardshorts;regular;surf;recycled
24a081516;billabong;men;adult;swim;boardshorts;regular;surf;
24a081518;billabong;men;adult;swim;boardshorts;regular;surf;
24a081521;billabong;men;adult;swim;boardshorts;regular;surf;
24a081522;billabong;men;adult;swim;boardshorts;regular;surf;
24a083575;billabong;men;adult;swim;boardshorts;regular;surf;recycled
24a083576;billabong;men;adult;swim;boardshorts;regular;surf;
24a083577;billabong;men;adult;swim;boardshorts;regular;surf;recycled
24a083583;billabong;men;adult;swim;boardshorts;regular;surf;
24a091500;billabong;men;adult;clothing;shorts;denim;casual;
24a093572;billabong;men;adult;clothing;shorts;bermuda;casual;
24a093590;billabong;men;adult;clothing;shorts;cargo;casual;
24a153502;billabong;men;adult;clothing;jackets;rain;casual;recycled
24a183500;billabong;men;adult;clothing;jackets;quilted;casual;
24a253573;billabong;men;adult;swim;boardshorts;regular;surf;
24a253574;billabong;men;adult;swim;boardshorts;regular;surf;
24a313571;billabong;men;adult;clothing;pullover;fleece;casual;
24a313572;billabong;men;adult;clothing;pullover;fleece;casual;
24a313573;billabong;men;adult;clothing;pullover;full_zip;casual;
24a353500;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353501;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353504;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353507;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353508;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353511;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353512;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353513;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353514;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353515;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353516;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353517;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353518;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353519;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353521;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353522;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353523;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353527;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353573;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353574;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353576;billabong;men;adult;clothing;t-shirt;crew;casual;
24a363503;billabong;men;adult;clothing;t-shirt;crew;casual;
24a411507;billabong;men;adult;clothing;pullover;fleece;casual;
24a413503;billabong;men;adult;clothing;pullover;fleece;casual;recycled
24a413504;billabong;men;adult;clothing;pullover;fleece;casual;recycled
24a413505;billabong;men;adult;clothing;pullover;hoodie;casual;
24a413506;billabong;men;adult;clothing;fleece_polar;hoodie;casual;
24a433590;billabong;men;adult;clothing;t-shirt;crew;casual;
24a433592;billabong;men;adult;clothing;t-shirt;crew;casual;
24a433594;billabong;men;adult;clothing;t-shirt;crew;casual;
24a462503;billabong;men;adult;clothing;pullover;crew;casual;
24a463504;billabong;men;adult;clothing;fleece_polar;fleece;casual;
24a481502;billabong;men;adult;clothing;pullover;full_zip;casual;recycled
24a503501;billabong;men;adult;clothing;t-shirt;crew;casual;
24a503503;billabong;men;adult;clothing;t-shirt;crew;casual;
24a503505;billabong;men;adult;clothing;t-shirt;crew;casual;
24a503506;billabong;men;adult;clothing;t-shirt;crew;casual;
24a503507;billabong;men;adult;clothing;t-shirt;crew;casual;
24a523501;billabong;men;adult;clothing;t-shirt;crew;casual;
24a523502;billabong;men;adult;clothing;t-shirt;crew;casual;
24a523503;billabong;men;adult;clothing;t-shirt;crew;casual;
24a551501;billabong;men;adult;accessories;cap;trucker;beach;
24a551506;billabong;men;adult;accessories;cap;trucker;beach;
24a551511;billabong;men;adult;accessories;cap;snapback;beach;
24a551512;billabong;men;adult;accessories;cap;strapback;beach;
24a553503;billabong;men;adult;accessories;cap;strapback;beach;
24a553504;billabong;men;adult;accessories;cap;trucker;beach;
24a583504;billabong;men;adult;accessories;beanie;cuff;casual;
24aw191501;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw191502;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193501;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193502;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193512;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193516;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193525;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193526;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw211500;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw211502;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw211503;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw251500;billabong;men;adult;surf;wetsuit;springsuit;surf;
24b013504;billabong;women;adult;clothing;t-shirt;crew;casual;
24b023504;billabong;women;adult;clothing;tank;crew;casual;
24b043502;billabong;women;adult;clothing;top;denim;casual;
24b043572;billabong;women;adult;clothing;shirt;button_up;casual;
24b053501;billabong;women;adult;clothing;shirt;button_up;casual;
24b053502;billabong;women;adult;clothing;shirt;button_up;casual;
24b053503;billabong;women;adult;clothing;top;crew;casual;
24b053504;billabong;women;adult;clothing;shirt;shacket;casual;
24b053505;billabong;women;adult;clothing;shirt;flannel;casual;
24b073500;billabong;women;adult;clothing;pullover;crew;casual;
24b073502;billabong;women;adult;clothing;pullover;crew;casual;
24b073506;billabong;women;adult;clothing;pullover;crew;casual;
24b073509;billabong;women;adult;clothing;pullover;crew;casual;
24b073512;billabong;women;adult;clothing;pullover;crew;casual;
24b091501;billabong;women;adult;clothing;short_leg_onesie;denim;casual;
24b093503;billabong;women;adult;clothing;shorts;sport;casual;
24b112500;billabong;women;adult;clothing;jeans;wide_legged;casual;
24b113500;billabong;women;adult;clothing;jeans;wide_legged;casual;
24b123500;billabong;women;adult;clothing;pants;joggers;casual;
24b123502;billabong;women;adult;clothing;pants;wide_legged;casual;
24b123503;billabong;women;adult;clothing;pants;wide_legged;casual;
24b123504;billabong;women;adult;clothing;pants;beach_coverup;beach;
24b123507;billabong;women;adult;clothing;pants;track;casual;
24b123509;billabong;women;adult;clothing;pants;track;casual;
24b123510;billabong;women;adult;clothing;pants;track;casual;
24b123571;billabong;women;adult;clothing;pants;beach_coverup;beach;
24b123572;billabong;women;adult;clothing;pants;beach_coverup;beach;
24b132515;billabong;women;adult;clothing;dress;one_piece;casual;
24b133503;billabong;women;adult;clothing;dress;one_piece;casual;
24b133506;billabong;women;adult;clothing;dress;one_piece;casual;
24b133507;billabong;women;adult;clothing;dress;one_piece;casual;
24b133522;billabong;women;adult;clothing;dress;one_piece;casual;
24b133523;billabong;women;adult;clothing;dress;one_piece;casual;
24b133530;billabong;women;adult;clothing;dress;halter;casual;
24b141503;billabong;women;adult;clothing;skirt;denim;casual;
24b153500;billabong;women;adult;clothing;jackets;bomber;casual;
24b153502;billabong;women;adult;clothing;jackets;bomber;casual;
24b153503;billabong;women;adult;clothing;jackets;puffer;casual;
24b153504;billabong;women;adult;clothing;jackets;light;casual;
24b153505;billabong;women;adult;clothing;jackets;bomber;casual;
24b193501;billabong;women;adult;clothing;jeans;wide_legged;casual;
24b193502;billabong;women;adult;clothing;jeans;flare;casual;
24b193503;billabong;women;adult;clothing;jeans;wide_legged;casual;
24b283500;billabong;women;adult;clothing;short_leg_onesie;romper;casual;
24b311502;billabong;women;adult;clothing;shirt;shacket;casual;
24b313503;billabong;women;adult;clothing;pullover;fleece;casual;
24b353581;billabong;women;adult;clothing;t-shirt;crew;casual;
24b411506;billabong;women;adult;clothing;pullover;sherpa;casual;
24b413502;billabong;women;adult;clothing;pullover;hoodie;casual;
24b413503;billabong;women;adult;clothing;pullover;hoodie;casual;
24b413504;billabong;women;adult;clothing;pullover;hoodie;casual;
24b413505;billabong;women;adult;clothing;pullover;hoodie;casual;
24b413570;billabong;women;adult;clothing;pullover;hoodie;casual;
24b463503;billabong;women;adult;clothing;pullover;crew;casual;
24b463504;billabong;women;adult;clothing;pullover;crew;casual;
24b463505;billabong;women;adult;clothing;pullover;crew;casual;
24b463506;billabong;women;adult;clothing;pullover;crew;casual;
24b463507;billabong;women;adult;clothing;pullover;crew;casual;
24b463508;billabong;women;adult;clothing;pullover;crew;casual;
24b463509;billabong;women;adult;clothing;pullover;crew;casual;
24b463510;billabong;women;adult;clothing;pullover;oversized;casual;
24b463570;billabong;women;adult;clothing;pullover;crew;casual;
24b483501;billabong;women;adult;clothing;pullover;full_zip;casual;
24b483502;billabong;women;adult;clothing;pullover;sherpa;casual;
24b483503;billabong;women;adult;clothing;pullover;fleece;casual;
24b483505;billabong;women;adult;clothing;jackets;fleece;casual;
24b483506;billabong;women;adult;clothing;pullover;fleece;casual;
24bw191507;billabong;women;adult;surf;wetsuit;fullsuit;surf;
24bw191510;billabong;women;adult;surf;wetsuit;fullsuit;surf;
24bw191511;billabong;women;adult;surf;wetsuit;fullsuit;surf;
24bw191512;billabong;women;adult;surf;wetsuit;fullsuit;surf;
24bw193502;billabong;women;adult;surf;wetsuit;springsuit;surf;
24bw193503;billabong;women;adult;surf;wetsuit;springsuit;surf;
24bw193504;billabong;women;adult;surf;wetsuit;springsuit;surf;
24bw193506;billabong;women;adult;surf;wetsuit;fullsuit;surf;
24bw193508;billabong;women;adult;surf;wetsuit;springsuit;surf;
24bw211500;billabong;women;adult;surf;wetsuit;fullsuit;surf;
24cw193506;billabong;boys;8-16_years;surf;wetsuit;fullsuit;surf;
24cw193507;billabong;boys;8-16_years;surf;wetsuit;fullsuit;surf;
24cw193508;billabong;boys;8-16_years;surf;wetsuit;fullsuit;surf;
24cw193511;billabong;boys;8-16_years;surf;wetsuit;fullsuit;surf;recycled
24cw211500;billabong;boys;8-16_years;surf;wetsuit;fullsuit;surf;
24cw211501;billabong;boys;8-16_years;surf;wetsuit;fullsuit;surf;
24d553574;billabong;men;adult;accessories;cap;clipback;beach;
24e551500;billabong;women;adult;accessories;cap;clipback;beach;
24e551502;billabong;women;adult;accessories;cap;clipback;beach;
24e552503;billabong;women;adult;accessories;cap;trucker;beach;
24e553500;billabong;women;adult;accessories;hat;bucket;beach;
24e553501;billabong;women;adult;accessories;cap;5_panel;beach;
24e583500;billabong;women;adult;accessories;beanie;knit;casual;
24e583501;billabong;women;adult;accessories;beanie;knit;casual;
24e603501;billabong;women;adult;accessories;wallet;card_holder;casual;
24e603503;billabong;women;adult;accessories;wallet;tri_fold;casual;
24e603571;billabong;women;adult;accessories;wallet;tri_fold;casual;
24e651501;billabong;women;adult;accessories;bag;pouch;casual;
24e653502;billabong;women;adult;accessories;backpack;classic;casual;
24e653503;billabong;women;adult;accessories;bag;waist_pack;casual;
24o083500;billabong;women;adult;swim;boardshorts;regular;surf;
24o123501;billabong;women;adult;swim;bikini_top;;beach;
24o123502;billabong;women;adult;swim;bikini_top;;beach;
24o141501;billabong;women;adult;swim;bikini_top;;beach;
24o143500;billabong;women;adult;swim;bikini_top;;beach;
24o143502;billabong;women;adult;swim;bikini_top;;beach;
24o143504;billabong;women;adult;swim;bikini_top;;beach;
24o143505;billabong;women;adult;swim;bikini_top;;beach;
24o143572;billabong;women;adult;swim;bikini_top;;beach;
24o143574;billabong;women;adult;swim;bikini_top;;beach;
24o153500;billabong;women;adult;swim;bikini_top;;beach;
24o153501;billabong;women;adult;swim;bikini_top;;beach;
24o153502;billabong;women;adult;swim;bikini_top;;beach;
24o153503;billabong;women;adult;swim;bikini_top;;beach;
24o153506;billabong;women;adult;swim;bikini_top;;beach;
24o153578;billabong;women;adult;swim;bikini_top;;beach;
24o153580;billabong;women;adult;swim;bikini_top;;beach;
24o173500;billabong;women;adult;swim;bikini_top;;beach;
24o182506;billabong;women;adult;swim;bikini_top;;beach;
24o183500;billabong;women;adult;swim;bikini_top;;beach;
24o183501;billabong;women;adult;swim;bikini_top;;beach;
24o183571;billabong;women;adult;swim;bikini_top;;beach;
24o193502;billabong;women;adult;swim;bikini_top;;beach;
24o203500;billabong;women;adult;swim;bikini_bottom;;beach;
24o203572;billabong;women;adult;swim;bikini_bottom;;beach;
24o223501;billabong;women;adult;swim;bikini_bottom;;beach;
24o223502;billabong;women;adult;swim;bikini_bottom;;beach;
24o223504;billabong;women;adult;swim;bikini_bottom;;beach;
24o223505;billabong;women;adult;swim;bikini_bottom;;beach;
24o223571;billabong;women;adult;swim;bikini_bottom;;beach;
24o231501;billabong;women;adult;swim;bikini_bottom;;beach;
24o231509;billabong;women;adult;swim;bikini_bottom;;beach;
24o233500;billabong;women;adult;swim;bikini_bottom;;beach;
24o233505;billabong;women;adult;swim;bikini_bottom;;beach;
24o233506;billabong;women;adult;swim;bikini_bottom;;beach;
24o233507;billabong;women;adult;swim;bikini_bottom;;beach;
24o233508;billabong;women;adult;swim;bikini_bottom;;beach;
24o233509;billabong;women;adult;swim;bikini_bottom;;beach;
24o233510;billabong;women;adult;swim;bikini_bottom;;beach;
24o233511;billabong;women;adult;swim;bikini_bottom;;beach;
24o233572;billabong;women;adult;swim;bikini_bottom;;beach;
24o233573;billabong;women;adult;swim;bikini_bottom;;beach;
24o281501;billabong;women;adult;swim;bikini_bottom;;beach;
24o283500;billabong;women;adult;swim;bikini_bottom;;beach;
24o283572;billabong;women;adult;swim;bikini_bottom;;beach;
24o303501;billabong;women;adult;swim;one_piece_swim;;beach;
24o303502;billabong;women;adult;swim;one_piece_swim;;beach;
24o303503;billabong;women;adult;swim;one_piece_swim;;beach;
24o303508;billabong;women;adult;swim;one_piece_swim;;beach;
24o303573;billabong;women;adult;swim;one_piece_swim;;beach;
24o303581;billabong;women;adult;swim;one_piece_swim;;beach;
24o603500;billabong;women;adult;swim;shirt;button_up;beach;
24o603501;billabong;women;adult;swim;shorts;beach_coverup;beach;
24rw191504;billabong;girls;8-14_years;surf;wetsuit;fullsuit;surf;
24rw193505;billabong;girls;8-14_years;surf;wetsuit;fullsuit;surf;
abbw100155;billabong;boys;8-16_years;surf;wetsuit;fullsuit;surf;recycled
abbw100156;billabong;boys;8-16_years;surf;wetsuit;fullsuit;surf;recycled
abgw100121;billabong;girls;8-16_years;surf;wetsuit;fullsuit;surf;recycled
abyha00461;billabong;men;adult;accessories;cap;snapback;beach;
abyjk00216;billabong;men;adult;clothing;jackets;windbreaker;casual;recycled
ebbdp03001;billabong;boys;8-16_years;clothing;jeans;stretch;casual;
ebbdp03002;billabong;boys;8-16_years;clothing;jeans;workwear;casual;
ebbft00122;billabong;boys;8-16_years;clothing;pullover;crew;casual;recycled
ebbft00123;billabong;boys;8-16_years;clothing;pullover;hoodie;casual;recycled
ebbft00124;billabong;boys;8-16_years;clothing;pullover;hoodie;casual;recycled
ebbft00125;billabong;boys;8-16_years;clothing;pullover;full_zip;casual;recycled
ebbft00126;billabong;boys;8-16_years;clothing;pullover;full_zip;casual;recycled
ebbft00127;billabong;boys;8-16_years;clothing;pullover;fleece;casual;recycled
ebbft00128;billabong;boys;8-16_years;clothing;pullover;full_zip;casual;recycled
ebbft00129;billabong;boys;8-16_years;clothing;pullover;fleece;casual;
ebbha00117;billabong;boys;kids;accessories;cap;snapback;beach;
ebbha00118;billabong;boys;kids;accessories;beanie;knit;casual;
ebbha00119;billabong;boys;kids;accessories;beanie;cuff;casual;
ebbjk03005;billabong;boys;8-16_years;clothing;jackets;rain;casual;
ebbjk03007;billabong;boys;8-16_years;clothing;jackets;fleece;casual;
ebbjk03009;billabong;boys;8-16_years;clothing;jackets;windbreaker;casual;pfc_free
ebbjk03010;billabong;boys;8-16_years;clothing;jackets;quilted;casual;
ebbkt03002;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbkt03003;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbnp03005;billabong;boys;8-16_years;clothing;pants;stretch;casual;
ebbnp03006;billabong;boys;8-16_years;clothing;pants;sweatpants;casual;recycled
ebbnp03007;billabong;boys;8-16_years;clothing;pants;cargo;casual;
ebbsf00131;billabong;boys;8-16_years;clothing;fleece_polar;fleece;casual;recycled
ebbsf00132;billabong;boys;8-16_years;clothing;fleece_polar;hoodie;casual;recycled
ebbsf00133;billabong;boys;8-16_years;clothing;fleece_polar;hoodie;casual;recycled
ebbsf00134;billabong;boys;8-16_years;clothing;fleece_polar;hoodie;casual;recycled
ebbwt03001;billabong;boys;8-16_years;clothing;shirt;shacket;casual;
ebbwt03002;billabong;boys;8-16_years;clothing;shirt;button_up;casual;
ebbwt03003;billabong;boys;8-16_years;clothing;shirt;button_up;casual;
ebbzt00175;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00176;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00177;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00178;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00179;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00180;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00181;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00182;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
ebbzt00183;billabong;boys;8-16_years;clothing;t-shirt;crew;casual;
