style;name;color;season;image_url;division;gender;age;category;parent_type;subtype;activity_use;sustainability;;description
24593501;sprucey;blk;253;;billabong;women;adult;accessories;belt;buckle;casual;;;Split leather belt^100% leather
24a013577;spec 73 legacy ss;dbr;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit Conventional 20/1 raglan sleeve tee with contrast onset panels^Fabric: 100% Cotton Jersey^Weight: 210g^Additional features: Centre front embroidered logo, Heat seal neck label, Side seam flag label
24a033590;otis ls rugby;blk;253;;billabong;men;adult;clothing;polo;classic;casual;;;OG Fit, 100% 210gsm cotton jacquard fabric, soft handle with texture, contrast collar, CF print with Otis trim pack.
24a041507;sundays jacquard ss;dkn;253;;billabong;men;adult;clothing;shirt;hawaiian;casual;;;100% Cotton, Jacquard,Regular fit,Chest pocket,Straight Bottom Hem,Garment wash,Woven label
24a041507;sundays jacquard ss;gdh;253;;billabong;men;adult;clothing;shirt;hawaiian;casual;;;100% Cotton, Jacquard,Regular fit,Chest pocket,Straight Bottom Hem,Garment wash,Woven label
24a053500;offshore flannel;blk;253;;billabong;men;adult;clothing;shirt;flannel;casual;;;Product Type: Mid weight Yarn dyed flannel top with mechanical stretch.^Additional Features: Dual chest pocket, garment wash, and straight bottom hem.
24a053500;offshore flannel;dmi;253;;billabong;men;adult;clothing;shirt;flannel;casual;;;Product Type: Mid weight Yarn dyed flannel top with mechanical stretch.^Additional Features: Dual chest pocket, garment wash, and straight bottom hem.
24a053500;offshore flannel;mid;253;;billabong;men;adult;clothing;shirt;flannel;casual;;;Product Type: Mid weight Yarn dyed flannel top with mechanical stretch.^Additional Features: Dual chest pocket, garment wash, and straight bottom hem.
24a053501;offshore jacquard flannel;snd;253;;billabong;men;adult;clothing;shirt;button_up;casual;;;Product Type:Yarn dye textured woven top.Additional Features: Dual chest pocket and straight hem. Regular fit. Straight bottom hem. Garment wash
24a053506;coastline flannel;blu;253;;billabong;men;adult;clothing;shirt;flannel;casual;;;Product Type: Yarn dyed flannel top with mechanical stretch.^Additional Features: Chest pocket and garment wash.
24a053506;coastline flannel;olv;253;;billabong;men;adult;clothing;shirt;flannel;casual;;;Product Type: Yarn dyed flannel top with mechanical stretch.^Additional Features: Chest pocket and garment wash.
24a053506;coastline flannel;otr;253;;billabong;men;adult;clothing;shirt;flannel;casual;;;Product Type: Yarn dyed flannel top with mechanical stretch.^Additional Features: Chest pocket and garment wash.
24a053507;baja flannel;oat;253;;billabong;men;adult;clothing;shirt;shacket;casual;;;Product Type: Yarn dyed flannel top with mechanical stretch^Additional Features: Buttoned chest pocket with woven label, straight bottom hem with side seam vents and fleece hood.
24a081501;sundays airlite;gah;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"18.5"" performance fit, 4-Way Pro Stretch. Back patch pocket with zip entry. Engineered sublimation prints. Fixed waist. Woven label branding. Ciclo Airlite features three unique performance fabrics seamlessly engineered into one, to give you Stability, Flexibility and Comfort."
24a081505;good times pro;chi;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"Product type: Performance boardshorts. Outseam: 17.5"", mid length. Fabric/tech: Upcycler 4 way stretch. A high performance fabric made from sustainable polyester recycled from waste textiles and old clothing, and recycled PET plastic bottles.The perfect combination of performance and comfort. WR: Micro Repel water repellent coating for a light weight and quick drying fabric. Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance. Waist: Fixed Pockets: Back patch. This printed boardshort will take our curated style to a new level. Featuring all over sublimation prints"
