style;division;gender;category;parent_type;subtype_1;subtype_2;subtype_3;subtype_4;activity_use_1;activity_use_2;activity_use_3;age;sustainability_1;sustainability_2;sustainability_3;sustainability_certification;fabric_main_1;fabric_main_2;fabric_main_3;fabric_main_4;fabric_main_5;fabric_subtype;lining_1;lining_2;lining_3;filling;padding_material;technology_1;technology_2;technology_3;technology_4;technology_5;technology_6;prod_collection;size;dimension_height;dimension_length;dimension_width;volume;backpack_size;number_pocket_bag;straps_1;straps_2;straps_3;straps_4;straps_5;visor;lens_tint_1;lens_tint_2;fit_1;fit_2;fit_3;sleeve_length;leg_length;closure;waist;pocket_1;pocket_2;pocket_3;pocket_4;pocket_5;pocket_6;pocket_7;dress_length;hood;neck;reversible;denim_wash;print;footwear_height;outsole;insole;sole_type;top_shape_1;top_shape_2;top_shape_3;top_shape_4;top_shape_5;bottom_shape_1;bottom_shape_2;bottom_shape_3;bottom_shape_4;coverage_1;coverage_2;bra_impact;padding;uv_protection;wetsuit_type;thickness;water-temp;wetsuit_technology_1;wetsuit_technology_2;wetsuit_technology_3;wetsuit_seam_1;wetsuit_seam_2;wetsuit-entry;snow_activity;flex_rating;rocker;insulation_level;insulation_technology;waterproofing_level;waterproofing_technology;Lumina Comments
24A011501;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;jersey;;;;;;;;;;;;;;;;;;;;;;;;;;;;premium;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A011503;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;yarn_dye;;;;;;;;;;;;bad_dog_workwear;;;;;;;;;;;;;;;;premium;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A011505;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;warped;;;;;;;;;;;;;;;;oversized;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351502;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351503;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351505;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351506;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351507;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351511;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351512;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351513;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351522;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A351523;billabong;men;clothing;t-shirt;crew;;;;casual;;;adult;;;;;cotton;;;;;yarn_dye;;;;;;;;;;;;bad_dog_workwear;;;;;;;;;;;;;;;;premium;;;short_sleeve;;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
