style;color;name;season;image_url;division;gender;age;category;parent_type;subtype;activity_use;sustainability;description
24593501;blk;test 253;253;;billabong;women;adult;accessories;belt;buckle;casual;;Split leather belt^100% leather
24a013577;blk;test 254;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;Product type: OG Fit Conventional 20/1 raglan sleeve tee with contrast onset panels^Fabric: 100% Cotton Jersey^Weight: 210g^Additional features: Centre front embroidered logo, Heat seal neck label, Side seam flag label
24a033590;blk;test 255;253;;billabong;men;adult;clothing;polo;classic;casual;;OG Fit, 100% 210gsm cotton jacquard fabric, soft handle with texture, contrast collar, CF print with Otis trim pack.
24a041507;blk;test 256;253;;billabong;men;adult;clothing;shirt;hawaiian;casual;;100% Cotton, Jacquard,Regular fit,Chest pocket,Straight Bottom Hem,Garment wash,Woven label
24a053500;blk;test 257;253;;billabong;men;adult;clothing;shirt;flannel;casual;;Product Type: Mid weight Yarn dyed flannel top with mechanical stretch.^Additional Features: Dual chest pocket, garment wash, and straight bottom hem.
24a053501;blk;test 258;253;;billabong;men;adult;clothing;shirt;button_up;casual;;Product Type:Yarn dye textured woven top.Additional Features: Dual chest pocket and straight hem. Regular fit. Straight bottom hem. Garment wash
24a053506;blk;test 259;253;;billabong;men;adult;clothing;shirt;flannel;casual;;Product Type: Yarn dyed flannel top with mechanical stretch.^Additional Features: Chest pocket and garment wash.
24a053507;blk;test 260;253;;billabong;men;adult;clothing;shirt;shacket;casual;;Product Type: Yarn dyed flannel top with mechanical stretch^Additional Features: Buttoned chest pocket with woven label, straight bottom hem with side seam vents and fleece hood.
24a081501;blk;test 261;253;;billabong;men;adult;swim;boardshorts;regular;surf;;"18.5"" performance fit, 4-Way Pro Stretch. Back patch pocket with zip entry. Engineered sublimation prints. Fixed waist. Woven label branding. Ciclo Airlite features three unique performance fabrics seamlessly engineered into one, to give you Stability, Flexibility and Comfort."
24a081505;blk;test 262;253;;billabong;men;adult;swim;boardshorts;regular;surf;;"Product type: Performance boardshorts. Outseam: 17.5"", mid length. Fabric/tech: Upcycler 4 way stretch. A high performance fabric made from sustainable polyester recycled from waste textiles and old clothing, and recycled PET plastic bottles.The perfect combination of performance and comfort. WR: Micro Repel water repellent coating for a light weight and quick drying fabric. Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance. Waist: Fixed Pockets: Back patch. This printed boardshort will take our curated style to a new level. Featuring all over sublimation prints"
24a081509;blk;test 263;253;;billabong;men;adult;swim;boardshorts;regular;surf;recycled;"Product type: Performance boardshorts^Fabric/tech: Recycler 4 way stretch. A high performance fabric.^Made from recylced PET plastic bottles. The perfect combination of performance and comfort.^WR: Micro Repel water repellent coating for a light weight and quick drying fabric^Outseam: 17,5"", mid length^Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance. ^Waist: Fixed ^Pockets: Side patch ^This 73 boardshort features our signature 73 split binding detail and scallop hem."
24a081514;blk;test 264;253;;billabong;men;adult;swim;boardshorts;regular;surf;recycled;"Product type: Lo tides 17,5"" boardshorts^Fabric/tech: Recycler 4 way stretch. A high performance fabric.^Made from recycled PET plastic bottles.^The perfect combination of performance and comfort.^WR: Micro Repel water repellent coating for a light weight and quick drying fabric^Outseam: 17,5"", mid length^Fit: Lo Tide, a modern fit featuring side pockets and an elastic lasso waist. Equally perfect for a lounge on the beach or a quick shred.^Waist: Lasso. Features a full waist drawcord for the ideal fit.^Pockets: side, back patch.^This 73 boardshort features our signature 73 split binding detail and scallop hem."
