style;color;division;gender;age;category;parent_type;subtype;activity_use;sustainability
24593501;blk;billabong;women;adult;accessories;belt;buckle;casual;
24a013577;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a033590;blk;billabong;men;adult;clothing;polo;classic;casual;
24a041507;blk;billabong;men;adult;clothing;shirt;hawaiian;casual;
24a053500;blk;billabong;men;adult;clothing;shirt;flannel;casual;
24a053501;blk;billabong;men;adult;clothing;shirt;button_up;casual;
24a053506;blk;billabong;men;adult;clothing;shirt;flannel;casual;
24a053507;blk;billabong;men;adult;clothing;shirt;shacket;casual;
24a081501;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a081505;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a081509;blk;billabong;men;adult;swim;boardshorts;regular;surf;recycled
24a081514;blk;billabong;men;adult;swim;boardshorts;regular;surf;recycled
24a081516;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a081518;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a081521;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a081522;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a083575;blk;billabong;men;adult;swim;boardshorts;regular;surf;recycled
24a083576;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a083577;blk;billabong;men;adult;swim;boardshorts;regular;surf;recycled
24a083583;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a091500;blk;billabong;men;adult;clothing;shorts;denim;casual;
24a093572;blk;billabong;men;adult;clothing;shorts;bermuda;casual;
24a093590;blk;billabong;men;adult;clothing;shorts;cargo;casual;
24a153502;blk;billabong;men;adult;clothing;jackets;rain;casual;recycled
24a183500;blk;billabong;men;adult;clothing;jackets;quilted;casual;
24a253573;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a253574;blk;billabong;men;adult;swim;boardshorts;regular;surf;
24a313571;blk;billabong;men;adult;clothing;pullover;fleece;casual;
24a313572;blk;billabong;men;adult;clothing;pullover;fleece;casual;
24a313573;blk;billabong;men;adult;clothing;pullover;full_zip;casual;
24a353500;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353501;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353504;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353507;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353508;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
