style;division;gender;age;category;parent_type;subtype;activity_use;sustainability;sustainability_certification1;sustainability_certification2;fabric_main1;fabric_main2;fabric_main3;fabric_main4;fabric_main5;fabric_main6;fabric_subtype1;lining1;lining2;lining3;lining4;filling;padding_material;technology1;technology2;technology3;technology4;technology5;technology6;technology7;prod_collection;size;dimension_height1;dimension_length1;dimension_width1;dimension_height2;dimension_length2;dimension_width2;volume1;volume2;backpack_size;number_pocket_bag;straps1;straps2;straps3;straps4;visor;lens_tint1;lens_tint2;lens_tint3;lens_tint4;fit1;fit2;fit3;fit4;sleeve_length;leg_length;closure1;closure2;waist;pocket1;pocket2;pocket3;pocket4;pocket5;dress_length;hood;neck;reversible;denim_wash;print;footwear_height;outsole1;outsole2;insole;sole_type;top_shape1;top_shape2;top_shape3;top_shape4;bottom_shape1;bottom_shape2;bottom_shape3;bottom_shape4;bottom_shape5;bottom_shape6;coverage1;coverage2;bra_impact;padding;uv_protection;wetsuit_type;thickness;water-temp;wetsuit_technology1;wetsuit_technology2;wetsuit_technology3;wetsuit_technology4;wetsuit_seam1;wetsuit_seam2;wetsuit-entry;snow_activity;flex_rating;rocker;insulation_level;insulation_technology1;insulation_technology2;waterproofing_level1;waterproofing_technology1;Lumina Comments
ERJKT04336;roxy;women;adult;clothing;t-shirt;crew;casual;;;;stretch_viscose;polyester;nylon;;;;rib;;;;;;;warmflight;;;;;;;active;;;;;;;;;;;;;;;;;;;;;fitted;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJKT04329;roxy;women;adult;clothing;t-shirt;crew;casual;;;;stretch_nylon;;;;;;;;;;;;;dryflight;;;;;;;active;;;;;;;;;;;;;;;;;;;;;loose;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJZT06037;roxy;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;rib;;;;;;;;;;;;;;active;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJKT04339;roxy;women;adult;clothing;t-shirt;crew;casual;;;;polyester;viscose;;;;;;;;;;;;dryflight;;;;;;;active;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJZT06036;roxy;women;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;rib;;;;;;;;;;;;;;active;;;;;;;;;;;;;;;;;;;;;loose;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJKT04330;roxy;women;adult;clothing;t-shirt;crew;casual;;;;stretch_nylon;;;;;;;;;;;;;dryflight;;;;;;;active;;;;;;;;;;;;;;;;;;;;;oversized;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJKT04327;roxy;women;adult;clothing;t-shirt;crew;active;;;;stretch_polyester;;;;;;mesh;;;;;;;dryflight;;;;;;;active;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJKT04328;roxy;women;adult;clothing;tank;racer_back;active;;;;stretch_polyester;;;;;;mesh;;;;;;;dryflight;;;;;;;active;;;;;;;;;;;;;;;;;;;;;regular;;;;sleeveless;;;;;;;;;;;;scoop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYKT00117;billabong;men;adult;clothing;t-shirt;crew;casual;;;;stretch_polyester;;;;;;;;;;;;;;;;;;;;adiv_x_taaffe;;;;;;;;;;;;;;;;;;;;;oversized;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00387;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adiv_x_taaffe;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00398;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adiv_x_taaffe;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00388;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adiv_x_taaffe;;;;;;;;;;;;;;;;;;;;;regular;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A364504;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A364505;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A364508;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A504508;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;oversized;;;;long_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00390;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYZT00391;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;regular;;;;long_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A503501;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;comfort;core;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A503503;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;jersey;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;comfort;core;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A504501;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A504505;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A504507;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A504509;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;;;;;short_sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24A503507;billabong;men;adult;clothing;t-shirt;crew;casual;;;;cotton;;;;;;;;;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;;;original;;;;short_sleeve;;;;;;;;;;;;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
