style;name;image_url;description;season
24A011501;BAXTER SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a011501_blk.png;Product Type :Fabric : yarn-dye stripe cotton jersey^Fit : Premium^Neck : Crew^Graphic : Chest embroidery art.^Trim/Patch : Billabong woven label;251
24A011503;BAD DOG SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a011503_nvy.png;Product Type :Fabric : yarn-dye stripe cotton jersey^Fit : Premium^Neck : Crew^Graphic : Chest embroidery art.^Trim/Patch : Billabong woven label;251
24A011504;SHIBUYA SS POLO;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a011504_nvy.png;"Product Type:Short Sleeve Polo
^Additional Features:180gsm jacquard stripe jersey. Contrast rib collar with logo patch label at chest. Soft hand feel.";251
24A011505;WARPED SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a011505_ofb.png;"Product Type : Short sleeve tee^Fabric : cotton.^Cut and sew panel^Billabong ""script"" logo embroidery at chest panel, woven label.";251
24A031507;ARCH PF LS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a031507_blk.png;Fabric: 84% RECYCLED POLYESTER / 16% ELASTANE^Sun protection: UPF50+;251
24A041500;SURFTREK TRANSIT SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a041500_bcs.png;Product Type: Recycled poly stretch woven top.^Additional Features: Chest pockets, UPF sun protection, and Adiv signature trims.;251
24A041503;ALL DAY STRIPE SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a041503_mos.png;Product Type: Yarn dyed stripped woven top with garment wash.^Fit: Regular ^Additional Features: Chest pocket.;251
24A041506;SUNDAYS MINI SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a041506_blk.png;Product Type: Printed woven top with mechanical stretch.^Additional Features: Seasonal mini mark print, chest pocket. CHI is made with 90% Cotton, 10% Polyester and TAU is made with 100% Cotton.;251
24A041507;SUNDAYS JACQUARD SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a041507_dka.png;Product Type: Jacquard woven top.^Additional Features: Chest pocket, and straight hem.;251
24A041508;MOGUL SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a041508_mid.png;Product Type: Striped woven top.^Additional Features: Chest pocket and straight hem, slightly oversized fit. STN is made with 100% Cotton. WAA is made with 90% Cotton and 10% Polyester.;251
24A041510;CORDOBA SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a041510_chi.png;Product Type: Printed woven top with mechanical stretch.^Additional Features: Seasonal print and chest pocket.;251
24A041513;SURFTREK PERF SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a041513_glb.png;Product Type: Perforated stretch woven top. Fabric uses dissolvable yarns creating perforation, breathability and wicking.^Additional Features: Dual chest pockets and UPF sun protection.;251
24A041514;ELEMENTS WOVEN SHIRT SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a041514_wbl.png;Product Type: Printed woven top with mechanical stretch.^Additional Features: Ty Williams allover print and chest pocket.^Art by Ty Williams.;251
24A041515;TOGETHER WOVEN SHIRT SS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a041515_chi.png;Product Type: Printed woven top with mechanical stretch.^Additional Features: Ty Williams allover print and chest pocket.^Art by Ty Williams.;251
24A051502;BONG DAYS LS;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a051502_chi.png;Product Type:100% 8 whale cotton cord with dual chest pocket and woven label.;251
24A051503;FURNACE FLANNEL;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a051503_glb.png;Product Type: Printed Furnace fleece top with mechanical stretch for perfect comfort.^Additional Features: Chest pocket and A/Div signature trims.;251
24A051504;BAD DOG FLANNEL;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a051504_sil.png;Product Type: Mid weight Yarn dyed flannel top with mechanical stretch.^Additional Features: Dual chest pocket, garment wash, and straight bottom hem.;251
24A081500;STRADDIE AIRLITE;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a081500_blk.png;"Product type: Airlite Performance boardshorts^Outseam: 20"", regular length^Fabric/tech: Airlite recycler stretch.^An omni-directional engineered, stretch jacquard weave fabric technology.^Made from recycled PET plastic bottles and Ciclo Fibers.^WR: Micro Repel water repellent coating for a light weight and quick drying fabric^Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance.^Waist: Fixed^Pockets: Back patch^The Airlite boardshort is built to the way you surf.  Airlite features three unique performance fabrics seamlessly engineered into one, to give you Stability, Flexibility and Comfort where you need it most - plus you get points for style with print and color. ^The Ciclo Fibers used to make this boardshort provide a pinnacle eco solution.  Learn more at CICLOTEXTILES.COM";251
24A081501;SUNDAYS AIRLITE;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a081501_blk.png;"Product type: Airlite Performance boardshorts^Outseam: 18.5"", mid length^Fabric/tech: Airlite recycler stretch.^An omni-directional engineered, stretch jacquard weave fabric technology.^Made from recycled PET plastic bottles and Ciclo Fibers.^WR: Micro Repel water repellent coating for a light weight and quick drying fabric^Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance.^Waist: Fixed^Pockets: Back patch^The Airlite boardshort is built to the way you surf.  Airlite features three unique performance fabrics seamlessly engineered into one, to give you Stability, Flexibility and Comfort where you need it most - plus you get points for style with print and color. ^The Ciclo Fibers used to make this boardshort provide a pinnacle eco solution.  Learn more at CICLOTEXTILES.COM";251
24A081502;FORMULA AIRLITE;https://s3.amazonaws.com/images.boardriders.com/bi/billabong/large/24a081502_cmm.png;"Product type: Airlite Performance boardshorts^Outseam: 18.5"", mid length^Fabric/tech: Airlite recycler stretch.^An omni-directional engineered, stretch jacquard weave fabric technology.^Made from recycled PET plastic bottles and Ciclo Fibers.^WR: Micro Repel water repellent coating for a light weight and quick drying fabric^Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance.^Waist: Fixed^Pockets: Side patch^The Airlite boardshort is built to the way you surf.  Airlite features three unique performance fabrics seamlessly engineered into one, to give you Stability, Flexibility and Comfort where you need it most - plus you get points for style with print and color. ^The Ciclo Fibers used to make this boardshort provide a pinnacle eco solution.  Learn more at CICLOTEXTILES.COM";251
