attribute;value1;value2;value3;value4;value5;value6;value7;value8;value9;value10;value11;value12;value13;value14;value15;value16;value17;value18;value19;value20;value21;value22;value23;value24;value25;value26;value27;value28;value29;value30;value31;value32;value33;value34;value35;value36;value37;value38;value39;value40;value41;value42;value43;value44;value45;value46;value47;value48;value49;value50;value51;value52;value53;value54;value55;value56;value57;value58;value59;value60;value61;value62;value63;value64;value65;value66;value67;value68;value69;value70;value71;value72;value73;value74;value75;value76;value77;value78;value79;value80;value81;value82;value83;value84;value85;value86;value87;value88;value89;value90;value91;value92;value93;value94;value95;value96;value97;value98;value99;value100;value101;value102;value103;value104;value105;value106;value107;value108;value109;value110;value111;value112;value113;value114;value115;value116;value117;value118;value119;value120;value121;value122;value123;value124;value125;value126;value127;value128;value129;value130;value131;value132;value133;value134;value135;value136;value137;value138;value139;value140
category;clothing;swim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
parent_type;t-shirt;tank;top;sweatshirt;fleece_polar;shirt;jackets;pants;jeans;shorts;dress;one_piece_outfit;skirt;sweater;cardigan;bodywear;boardshorts;hybrid_shorts;swim_trunks;bikini_top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
subtype;t-shirt;muscle;graphic;crop;active_tank;longline;racer_back;knit;blouse;cami;polo_shirt;hooded;woven;button_up;body;short_sleeve;camisole;long_sleeve;sweatshirt;pullover;half_zip;full_zip;oversized;not_found;traditional;western;teddy;sherpa;denim;puffed;quilted;shacket;corduroy;vest;windbreaker;rain;coach;insulator;parka;bomber;workwear;active_jacket;padded;down;military;popover;mechanics;sweatpants;joggers;track;elastic_waist;high_waist;cropped;cargo;chino;wide_legged;beach;active_pants;straight_fit;leggings;carpenter;active_leggings;jeans;short;dress;romper;jumpsuit;sarong;overalls;pareo;skirt;chunky;open_front;sports_bra;top;onesie;performance;regular;hybrid_shorts;swim_trunks;underwire;bandeau;plunge;bralette;triangle;tankini;bra;high_neck;halter;quarter_zip;hoodie;embroidered;active_sweatshirt;flannel;hawaiian;resort;reversible;chore;ripped;worker;bike;sweat_shorts;printed;active_shorts;bermuda;sleeveless;midi;mini;maxi;kimono;lace;smocked;beach_coverup;cover-up;active_bra;strapless;tie_front;dd;pocket;boxy;active_t-shirt;tailored;shirt;flare;sweater;wrap;a-line;jean;bodycon;skater;strappy;baseball;cutout;tank;poncho;pinafore;sundress;cross_back;tube;empire-waist
division;billabong;quiksilver;roxy;element;rvca;dc_shoes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gender;girls;women;men;boys;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age;4-12_years;adult;8-16_years;2-7_years;6-12_years;6-16_years;0-5_years;0-7_years;2-16_years;4-14_years;6-14_years;kids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fabric_main;cotton;stretch_cotton_blend;cotton_blend;stretch_cotton;polyester;stretch_viscose;stretch_modal;polyester_blend;stretch_polyester;4-way_stretch;viscose_blend;stretch_nylon;stretch_viscose_blend;viscose;stretch_polyester_blend;hemp_blend;linen_blend;stretch_modal_blend;modal_blend;stretch_hemp_blend;nylon;polyamide;stretch_pet;lyocell;polyurethane;stretch_polyamide;lyocell_blend;modal;stretch_acrylic_blend;acrylic;acrylic_blend;stretch_nylon_blend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fabric_subtype;jersey;rib;yarn_dye;waffle;jacquard;double_knit;rayon;knit;pique;slub;thermal;spandex;mesh;rib_knit;dobby;crinkle;sweater;pointelle;hacci;plain_weave;crepe;double_cloth;crochet;double_gauze;poplin;gauze;sweatshirt_fleece;flax;yarn;french_terry;sherpa-faux;polar_fleece;terry_fleece;burnout;interlock;french_rib;corduroy;sherpa;heather;graphene;flannel;linen;crosshatch;twill;hemp;denim;oxford;chambray;ripstop;plaited;canvas;taffeta;melton;sateen;ottoman;plaid;terry;lace;satin;bedford;herringbone;seersucker;weave;double_slub;double_weave;voile;slub_yarn;chenille;supersuede;tricot;surf_suede;highlite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sustainability;organic;recycled;hemp;pfc_free;natural_dye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sustainability_certification;repreve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
